mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.332,0.221,0.001,0.72,0.004,0.003,3613.0,2633.0,1.0
0.333,0.219,0.0,0.716,0.003,0.002,3965.0,3208.0,1.0
0.332,0.222,0.0,0.719,0.004,0.003,3207.0,2856.0,1.0
0.338,0.223,0.0,0.732,0.003,0.002,4305.0,3068.0,1.0
0.338,0.228,0.0,0.743,0.004,0.003,3790.0,2988.0,1.0
0.331,0.238,0.0,0.749,0.004,0.003,2906.0,3337.0,1.0
0.332,0.228,0.0,0.732,0.004,0.003,3025.0,2665.0,1.0
0.339,0.232,0.0,0.76,0.004,0.003,2925.0,3514.0,1.0
0.35,0.231,0.0,0.746,0.003,0.003,3753.0,2360.0,1.0
0.342,0.231,0.0,0.748,0.003,0.002,4331.0,3081.0,1.0
0.367,0.25,0.001,0.79,0.005,0.004,2116.0,2810.0,1.0
0.354,0.234,0.001,0.754,0.004,0.003,3184.0,2638.0,1.0
0.304,0.231,0.0,0.733,0.005,0.003,2480.0,3036.0,1.0
0.323,0.222,0.0,0.718,0.003,0.002,4126.0,2961.0,1.0
0.354,0.235,0.001,0.762,0.004,0.003,3801.0,2682.0,1.0
0.305,0.233,0.0,0.746,0.005,0.003,2322.0,2845.0,1.0
0.328,0.218,0.0,0.716,0.003,0.002,4234.0,2541.0,1.0
0.319,0.224,0.0,0.726,0.003,0.002,4242.0,2946.0,1.0
0.361,0.244,0.0,0.781,0.005,0.004,1962.0,2773.0,1.0
0.344,0.228,0.001,0.746,0.004,0.003,3409.0,2829.0,1.0
0.339,0.221,0.0,0.726,0.003,0.002,4247.0,2996.0,1.0
0.328,0.218,0.0,0.712,0.003,0.002,4561.0,2769.0,1.0
0.331,0.222,0.0,0.717,0.003,0.002,4142.0,2619.0,1.0
0.342,0.226,0.001,0.74,0.004,0.003,3559.0,2703.0,1.0
0.316,0.219,0.0,0.703,0.003,0.002,3596.0,2958.0,1.0
0.329,0.221,0.0,0.715,0.003,0.002,4356.0,2819.0,1.0
0.322,0.221,0.0,0.71,0.003,0.003,3692.0,2389.0,1.0
0.302,0.236,0.0,0.747,0.005,0.004,1842.0,1948.0,1.0
0.345,0.232,0.0,0.75,0.004,0.003,3319.0,2868.0,1.0
0.3,0.239,0.0,0.749,0.005,0.004,2047.0,2950.0,1.0
0.327,0.218,0.001,0.713,0.003,0.002,4583.0,2753.0,1.0
0.307,0.232,0.0,0.735,0.005,0.004,2063.0,2632.0,1.0
0.324,0.22,0.0,0.715,0.003,0.003,3731.0,2634.0,1.0
0.338,0.224,0.0,0.731,0.003,0.002,3792.0,2282.0,1.0
0.339,0.222,0.0,0.731,0.003,0.002,3458.0,2750.0,1.0
0.339,0.223,0.0,0.727,0.003,0.002,4046.0,2505.0,1.0
0.35,0.23,0.0,0.741,0.004,0.003,3450.0,2901.0,1.0
0.367,0.246,0.0,0.796,0.004,0.003,2859.0,2845.0,1.0
0.318,0.224,0.0,0.724,0.004,0.003,3351.0,2686.0,1.0
0.356,0.235,0.001,0.761,0.004,0.003,3222.0,3359.0,1.0
0.03,0.029,0.0,0.082,0.0,0.0,4578.0,2181.0,1.0
0.03,0.028,0.0,0.081,0.0,0.0,4877.0,2649.0,1.0
0.028,0.03,0.0,0.083,0.0,0.0,3245.0,2764.0,1.0
0.03,0.03,0.0,0.084,0.0,0.0,3897.0,2531.0,1.0
0.034,0.032,0.0,0.095,0.001,0.0,3386.0,2263.0,1.0
0.033,0.031,0.0,0.091,0.0,0.0,5056.0,2902.0,1.0
0.029,0.029,0.0,0.083,0.0,0.0,4137.0,2743.0,1.0
0.034,0.032,0.0,0.094,0.001,0.0,3196.0,2257.0,1.0
0.031,0.028,0.0,0.084,0.0,0.0,4831.0,2731.0,1.0
0.033,0.031,0.0,0.091,0.0,0.0,5392.0,2692.0,1.0
0.029,0.03,0.0,0.083,0.0,0.0,3331.0,2727.0,1.0
0.03,0.028,0.0,0.081,0.0,0.0,4055.0,2181.0,1.0
0.03,0.028,0.0,0.082,0.0,0.0,4723.0,2424.0,1.0
0.032,0.029,0.0,0.088,0.0,0.0,5386.0,2622.0,1.0
0.032,0.03,0.0,0.087,0.0,0.0,4509.0,2812.0,1.0
0.03,0.027,0.0,0.079,0.0,0.0,4817.0,3073.0,1.0
0.033,0.03,0.0,0.086,0.0,0.0,4884.0,2570.0,1.0
0.032,0.03,0.0,0.085,0.0,0.0,6596.0,2970.0,1.0
0.032,0.03,0.0,0.086,0.0,0.0,4303.0,2172.0,1.0
0.035,0.033,0.0,0.096,0.001,0.0,2701.0,2680.0,1.0
0.03,0.029,0.0,0.082,0.0,0.0,4292.0,2557.0,1.0
0.035,0.033,0.0,0.096,0.001,0.0,2706.0,2612.0,1.0
0.031,0.028,0.0,0.084,0.0,0.0,6010.0,2137.0,1.0
0.034,0.033,0.0,0.094,0.001,0.0,3174.0,2584.0,1.0
0.032,0.03,0.0,0.084,0.0,0.0,3969.0,2059.0,1.0
0.03,0.028,0.0,0.078,0.0,0.0,5197.0,2856.0,1.0
0.031,0.029,0.0,0.084,0.0,0.0,5184.0,2896.0,1.0
0.03,0.028,0.0,0.081,0.0,0.0,5186.0,2766.0,1.0
0.029,0.029,0.0,0.082,0.0,0.0,4885.0,2709.0,1.0
0.028,0.029,0.0,0.082,0.0,0.0,3365.0,3042.0,1.0
0.033,0.031,0.0,0.091,0.0,0.0,4069.0,2205.0,1.0
0.029,0.029,0.0,0.082,0.0,0.0,3392.0,3163.0,1.0
0.032,0.031,0.0,0.088,0.0,0.0,5546.0,2434.0,1.0
0.031,0.03,0.0,0.085,0.0,0.0,5073.0,2709.0,1.0
0.032,0.032,0.0,0.091,0.001,0.0,3426.0,2978.0,1.0
0.032,0.031,0.0,0.088,0.0,0.0,4077.0,2432.0,1.0
0.031,0.031,0.0,0.087,0.0,0.0,3368.0,2730.0,1.0
0.031,0.029,0.0,0.083,0.0,0.0,4128.0,1963.0,1.0
0.031,0.03,0.0,0.085,0.0,0.0,5344.0,2619.0,1.0
0.031,0.03,0.0,0.088,0.0,0.0,3264.0,2277.0,1.0
0.031,0.029,0.0,0.085,0.0,0.0,5456.0,2324.0,1.0
0.031,0.03,0.0,0.085,0.0,0.0,4418.0,2258.0,1.0
0.031,0.031,0.0,0.09,0.001,0.0,2976.0,2461.0,1.0
0.032,0.03,0.0,0.087,0.0,0.0,4614.0,2715.0,1.0
0.031,0.028,0.0,0.082,0.0,0.0,5465.0,2658.0,1.0
0.031,0.03,0.0,0.085,0.0,0.0,5102.0,2546.0,1.0
0.031,0.03,0.0,0.087,0.0,0.0,5117.0,2368.0,1.0
0.031,0.029,0.0,0.086,0.0,0.0,5121.0,3118.0,1.0
0.031,0.03,0.0,0.087,0.0,0.0,4568.0,2549.0,1.0
0.031,0.029,0.0,0.084,0.0,0.0,5574.0,2590.0,1.0
0.031,0.029,0.0,0.084,0.0,0.0,4659.0,2639.0,1.0
0.031,0.032,0.0,0.088,0.001,0.0,2943.0,2352.0,1.0
0.031,0.029,0.0,0.085,0.0,0.0,4534.0,2670.0,1.0
0.032,0.033,0.0,0.093,0.001,0.0,2815.0,2732.0,1.0
0.031,0.03,0.0,0.089,0.0,0.0,5618.0,2664.0,1.0
0.031,0.031,0.0,0.086,0.0,0.0,3360.0,2543.0,1.0
0.031,0.029,0.0,0.084,0.0,0.0,4827.0,2417.0,1.0
0.031,0.028,0.0,0.083,0.0,0.0,5033.0,3038.0,1.0
0.032,0.03,0.0,0.087,0.0,0.0,5036.0,2521.0,1.0
0.032,0.03,0.0,0.087,0.0,0.0,4962.0,2664.0,1.0
0.032,0.03,0.0,0.088,0.0,0.0,4864.0,2630.0,1.0
0.031,0.031,0.0,0.09,0.0,0.0,3949.0,3092.0,1.0
0.031,0.029,0.0,0.086,0.0,0.0,3931.0,2329.0,1.0
0.031,0.03,0.0,0.087,0.0,0.0,3289.0,3251.0,1.0
0.033,0.031,0.0,0.091,0.0,0.0,5243.0,2254.0,1.0
0.032,0.031,0.0,0.09,0.0,0.0,5505.0,2824.0,1.0
0.034,0.032,0.0,0.091,0.001,0.0,3105.0,2640.0,1.0
0.034,0.031,0.0,0.092,0.0,0.0,3872.0,2515.0,1.0
0.028,0.029,0.0,0.081,0.0,0.0,2931.0,2947.0,1.0
0.03,0.028,0.0,0.082,0.0,0.0,5475.0,2853.0,1.0
0.033,0.031,0.0,0.088,0.0,0.0,4543.0,2888.0,1.0
0.029,0.031,0.0,0.086,0.001,0.0,3089.0,2754.0,1.0
0.03,0.028,0.0,0.082,0.0,0.0,5316.0,2419.0,1.0
0.03,0.029,0.0,0.083,0.0,0.0,5418.0,2603.0,1.0
0.034,0.031,0.0,0.09,0.001,0.0,2568.0,2616.0,1.0
0.032,0.03,0.0,0.088,0.0,0.0,4024.0,2807.0,1.0
