date,week,home_team,home_pts,away_team,away_pts,tie
2020-12-06,13,ARZ,28.0,LAR,38.0,False
2020-12-06,13,SEA,12.0,NYG,17.0,False
2020-12-06,13,GB,30.0,PHI,16.0,False
2020-12-06,13,LAC,0.0,NE,45.0,False
2020-12-06,13,KC,22.0,DEN,16.0,False
2020-12-07,13,PIT,17.0,WAS,23.0,False
2020-12-07,13,SF,24.0,BUF,34.0,False
2020-12-08,13,BLT,34.0,DAL,17.0,False
2020-12-10,14,LAR,24.0,NE,3.0,False
2020-12-13,14,CAR,27.0,DEN,32.0,False
2020-12-13,14,CHI,36.0,HST,7.0,False
2020-12-13,14,CIN,7.0,DAL,30.0,False
2020-12-13,14,NYG,7.0,ARZ,26.0,False
2020-12-13,14,JAX,10.0,TEN,31.0,False
2020-12-13,14,MIA,27.0,KC,33.0,False
2020-12-13,14,TB,26.0,MIN,14.0,False
2020-12-13,14,LV,27.0,IND,44.0,False
2020-12-13,14,SEA,40.0,NYJ,3.0,False
2020-12-13,14,LAC,20.0,ATL,17.0,False
2020-12-13,14,DET,24.0,GB,31.0,False
2020-12-13,14,PHI,24.0,NO,21.0,False
2020-12-13,14,SF,15.0,WAS,23.0,False
2020-12-13,14,BUF,26.0,PIT,15.0,False
2020-12-14,14,CLV,42.0,BLT,47.0,False
2020-12-17,15,LV,27.0,LAC,30.0,False
2020-12-19,15,DEN,19.0,BUF,48.0,False
2020-12-19,15,GB,24.0,CAR,16.0,False
2020-12-20,15,ATL,27.0,TB,31.0,False
2020-12-20,15,MIN,27.0,CHI,33.0,False
2020-12-20,15,IND,27.0,HST,20.0,False
2020-12-20,15,DAL,41.0,SF,33.0,False
2020-12-20,15,TEN,46.0,DET,25.0,False
2020-12-20,15,BLT,40.0,JAX,14.0,False
2020-12-20,15,MIA,22.0,NE,12.0,False
2020-12-20,15,WAS,15.0,SEA,20.0,False
2020-12-20,15,ARZ,33.0,PHI,26.0,False
2020-12-20,15,LAR,20.0,NYJ,23.0,False
2020-12-20,15,NO,29.0,KC,32.0,False
2020-12-20,15,NYG,6.0,CLV,20.0,False
2020-12-21,15,CIN,27.0,PIT,17.0,False
2020-12-25,16,NO,52.0,MIN,33.0,False
2020-12-26,16,DET,7.0,TB,47.0,False
2020-12-26,16,ARZ,12.0,SF,20.0,False
2020-12-26,16,LV,25.0,MIA,26.0,False
2020-12-27,16,KC,17.0,ATL,14.0,False
2020-12-27,16,JAX,17.0,CHI,41.0,False
2020-12-27,16,HST,31.0,CIN,37.0,False
2020-12-27,16,NYJ,23.0,CLV,16.0,False
2020-12-27,16,PIT,28.0,IND,24.0,False
2020-12-27,16,BLT,27.0,NYG,13.0,False
2020-12-27,16,WAS,13.0,CAR,20.0,False
2020-12-27,16,LAC,19.0,DEN,16.0,False
2020-12-27,16,DAL,37.0,PHI,17.0,False
2020-12-27,16,SEA,20.0,LAR,9.0,False
2020-12-27,16,GB,40.0,TEN,14.0,False
2020-12-28,16,NE,9.0,BUF,38.0,False
2021-01-03,17,TB,44.0,ATL,27.0,False
2021-01-03,17,BUF,56.0,MIA,26.0,False
2021-01-03,17,CIN,3.0,BLT,38.0,False
2021-01-03,17,CLV,24.0,PIT,22.0,False
2021-01-03,17,NYG,23.0,DAL,19.0,False
2021-01-03,17,DET,35.0,MIN,37.0,False
2021-01-03,17,NE,28.0,NYJ,14.0,False
2021-01-03,17,CAR,7.0,NO,33.0,False
2021-01-03,17,CHI,16.0,GB,35.0,False
2021-01-03,17,IND,28.0,JAX,14.0,False
2021-01-03,17,LAR,18.0,ARZ,7.0,False
2021-01-03,17,DEN,31.0,LV,32.0,False
2021-01-03,17,HST,38.0,TEN,41.0,False
2021-01-03,17,KC,21.0,LAC,38.0,False
2021-01-03,17,SF,23.0,SEA,26.0,False
2021-01-03,17,PHI,14.0,WAS,20.0,False
2021-01-09,WildCard,BUF,27.0,IND,24.0,False
2021-01-09,WildCard,SEA,20.0,LAR,30.0,False
2021-01-09,WildCard,WAS,23.0,TB,31.0,False
2021-01-10,WildCard,TEN,13.0,BLT,20.0,False
2021-01-10,WildCard,NO,21.0,CHI,9.0,False
2021-01-10,WildCard,PIT,37.0,CLV,48.0,False
2021-01-16,Division,GB,32.0,LAR,18.0,False
2021-01-16,Division,BUF,17.0,BLT,3.0,False
2021-01-17,Division,KC,22.0,CLV,17.0,False
2021-01-17,Division,NO,20.0,TB,30.0,False
2021-01-24,ConfChamp,GB,26.0,TB,31.0,False
2021-01-24,ConfChamp,KC,38.0,BUF,24.0,False
2021-02-07,SuperBowl,TB,31.0,KC,9.0,False
